Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:3		mimemp4			https://cdn.aquifer.bible/aquifer-content/resources/VideoBibleDictionary/ENG/Wilderness.mp4
1:4		mimemp4			https://cdn.aquifer.bible/aquifer-content/resources/VideoBibleDictionary/ENG/Wilderness.mp4
1:5		mimemp4			https://cdn.aquifer.bible/aquifer-content/resources/VideoBibleDictionary/ENG/JordanRiver.mp4
1:9		mimemp4			https://cdn.aquifer.bible/aquifer-content/resources/VideoBibleDictionary/ENG/JordanRiver.mp4
1:9		mimemp4			https://cdn.aquifer.bible/aquifer-content/resources/VideoBibleDictionary/ENG/SeaOfGalilee.mp4
1:12		mimemp4			https://cdn.aquifer.bible/aquifer-content/resources/VideoBibleDictionary/ENG/Wilderness.mp4
1:14		mimemp4			https://cdn.aquifer.bible/aquifer-content/resources/VideoBibleDictionary/ENG/SeaOfGalilee.mp4
1:16		mimemp4			https://cdn.aquifer.bible/aquifer-content/resources/VideoBibleDictionary/ENG/FishingNet.mp4
1:16		mimemp4			https://cdn.aquifer.bible/aquifer-content/resources/VideoBibleDictionary/ENG/SeaOfGalilee.mp4
1:18		mimemp4			https://cdn.aquifer.bible/aquifer-content/resources/VideoBibleDictionary/ENG/FishingNet.mp4
1:19		mimemp4			https://cdn.aquifer.bible/aquifer-content/resources/VideoBibleDictionary/ENG/FishingNet.mp4
1:28		mimemp4			https://cdn.aquifer.bible/aquifer-content/resources/VideoBibleDictionary/ENG/SeaOfGalilee.mp4
1:39		mimemp4			https://cdn.aquifer.bible/aquifer-content/resources/VideoBibleDictionary/ENG/SeaOfGalilee.mp4
